//X,Y,Z,R,G,B
0.16457701,2.07801771,-0.64268076,0,0,0
0.03559306,1.93114471,-0.62015635,0,0,0
0.16115235,1.97612977,-0.63311768,0,0,0
-0.01349810,1.95917475,-0.61632431,0,0,0
-0.01046107,1.89099300,-0.61108851,0,0,0
-0.00792374,1.82390130,-0.60345793,0,0,0
-0.02216907,2.09270334,-0.61258847,0,0,0
-0.01934784,2.01717710,-0.60520244,0,0,0
-0.85864830,2.22690463,-0.70546973,0,0,0
-0.82017136,1.99261951,-0.66183960,0,0,0
-0.83130872,1.96558571,-0.65694523,0,0,0
-0.81502378,1.88798070,-0.65172219,0,0,0
-0.91169155,2.06815195,-0.65148830,0,0,0
-0.80170023,2.00359941,-0.65639085,0,0,0
-0.71234828,2.24845982,-0.67662686,0,0,0
-0.83881915,2.10917735,-0.65814233,0,0,0
-0.81955314,2.08703971,-0.65675551,0,0,0
-0.82416499,1.89060330,-0.64600569,0,0,0
-0.84948832,1.92582130,-0.64429468,0,0,0
-0.81465477,1.81244612,-0.63676804,0,0,0
-0.70373607,1.89378774,-0.64999509,0,0,0
-0.84119815,1.99743998,-0.64204621,0,0,0
-0.80059028,2.10007668,-0.65029353,0,0,0
-0.81016576,1.87952948,-0.63688642,0,0,0
-0.80456507,2.02704096,-0.64475954,0,0,0
-0.83475751,2.07445717,-0.64327419,0,0,0
-0.82866877,2.02099299,-0.63869178,0,0,0
-0.80501801,1.94787633,-0.63569647,0,0,0
-0.86496276,1.93084800,-0.62952268,0,0,0
-0.69738740,1.97052085,-0.64602602,0,0,0
-0.88595581,2.10345221,-0.63413590,0,0,0
-0.85067135,1.95435596,-0.62878340,0,0,0
-0.69246203,2.05391669,-0.64575171,0,0,0
-0.79689503,2.09634972,-0.63835758,0,0,0
-0.88620079,2.02623749,-0.62614626,0,0,0
-0.68844259,1.94096220,-0.63835651,0,0,0
-0.87831718,2.06803131,-0.62844509,0,0,0
-0.68873686,2.14440584,-0.64870632,0,0,0
-0.84337538,2.05005288,-0.62811339,0,0,0
-0.62835550,1.94913638,-0.64016372,0,0,0
-0.86703724,1.99181283,-0.62048960,0,0,0
-0.85456866,2.01936841,-0.62134457,0,0,0
-0.85884029,1.92018867,-0.61520159,0,0,0
-0.69355607,2.11394596,-0.63756084,0,0,0
-0.62951797,1.86306167,-0.62892264,0,0,0
-0.68806624,2.01863766,-0.63076890,0,0,0
-0.61635196,2.10732174,-0.63436717,0,0,0
-0.46412569,2.03367162,-0.64133179,0,0,0
-0.46994111,1.92101097,-0.63497418,0,0,0
-0.46017870,2.13136482,-0.64541471,0,0,0
-0.46694741,1.93743598,-0.63357627,0,0,0
-0.25375783,2.20700455,-0.66532785,0,0,0
-0.46994421,1.98395038,-0.63405246,0,0,0
-0.61754507,2.01302528,-0.62252861,0,0,0
-0.46749809,1.85402155,-0.62645113,0,0,0
-0.22642681,2.18465114,-0.66024667,0,0,0
-0.46947622,2.04758573,-0.63099074,0,0,0
-0.21533674,1.96192825,-0.64759207,0,0,0
-0.21902779,2.03131175,-0.64986748,0,0,0
-0.21182168,1.89355302,-0.64282101,0,0,0
-0.26334822,1.90355659,-0.63733977,0,0,0
-0.22288369,2.10161781,-0.64959896,0,0,0
-0.25877714,2.04148865,-0.64300734,0,0,0
-0.17664582,1.92686737,-0.64396256,0,0,0
-0.46873766,2.11246228,-0.62650889,0,0,0
-0.13207635,2.21311045,-0.65934670,0,0,0
-0.26119432,1.96658480,-0.63425940,0,0,0
-0.16995808,2.10507369,-0.64602530,0,0,0
-0.17269623,2.00915766,-0.64025700,0,0,0
-0.07674997,1.93415201,-0.64223093,0,0,0
-0.25674787,2.10605168,-0.63516122,0,0,0
-0.22346339,2.10274649,-0.63515973,0,0,0
-0.19662566,1.83942115,-0.62233496,0,0,0
-0.21584925,2.02867079,-0.62665123,0,0,0
-0.20898455,1.96123040,-0.62261862,0,0,0
-0.05808318,2.06064725,-0.64074278,0,0,0
-0.06500636,2.08809114,-0.64146543,0,0,0
-0.13674557,2.03194141,-0.62911177,0,0,0
-0.14251259,1.88535738,-0.62083274,0,0,0
-0.20204358,1.89486897,-0.61614716,0,0,0
-0.10066248,2.02988672,-0.63113129,0,0,0
-0.13951123,1.95531189,-0.62279838,0,0,0
-0.09291290,1.92935467,-0.62504798,0,0,0
-0.05873842,2.16943002,-0.64011174,0,0,0
-0.07538570,1.96024549,-0.62517709,0,0,0
-0.06102552,2.16109180,-0.63595754,0,0,0
-0.07855957,2.04741955,-0.62824100,0,0,0
-0.08799271,2.00185633,-0.62494379,0,0,0
-0.06789076,1.99614525,-0.62635970,0,0,0
-0.08337225,2.08047295,-0.62818176,0,0,0
-0.08509515,2.23769212,-0.63561934,0,0,0
-0.26640761,1.81087124,-0.59358460,0,0,0
-0.13296917,2.09854507,-0.61976618,0,0,0
-0.05259874,1.93656087,-0.61701900,0,0,0
-0.07066900,1.99476254,-0.61794728,0,0,0
-0.09570169,2.12319875,-0.62225235,0,0,0
-0.08124800,2.12939167,-0.62157071,0,0,0
-0.06721594,2.08229089,-0.61985779,0,0,0
-0.07750275,2.15405965,-0.62188983,0,0,0
-0.06377517,2.17674708,-0.62385535,0,0,0
-0.07310794,1.89121652,-0.59324783,0,0,0
-0.07102621,1.81848049,-0.58660251,0,0,0
-0.09898517,1.88106239,-0.58005965,0,0,0
-0.09115188,1.82134902,-0.57404858,0,0,0
-1.53935432,1.82170200,-0.66342926,0,0,0
-1.24569654,1.98946559,-0.68504333,0,0,0
-1.24737215,2.08594513,-0.68624318,0,0,0
-1.27938819,1.93152106,-0.67540228,0,0,0
-1.35692930,1.82496357,-0.65977728,0,0,0
-1.36670423,1.99812472,-0.66690618,0,0,0
-1.35873675,1.90644026,-0.65924501,0,0,0
-1.26783621,2.01592326,-0.67182910,0,0,0
-1.22986734,1.87886870,-0.66397357,0,0,0
-1.25848627,2.10671234,-0.67153907,0,0,0
-1.21624970,1.81054318,-0.63117117,0,0,0
-1.10475147,1.93325090,-0.64121145,0,0,0
-0.92876512,1.91301763,-0.65226895,0,0,0
-0.92334652,1.99307489,-0.65632004,0,0,0
-0.93299711,1.83450651,-0.64674276,0,0,0
-1.08967328,1.85748398,-0.62950015,0,0,0
-0.92853647,1.96674418,-0.64309084,0,0,0
-0.89914340,1.83620739,-0.63560158,0,0,0
-0.92965007,1.87568390,-0.63459903,0,0,0
-0.85316199,1.85053611,-0.63865227,0,0,0
-0.92229235,2.05332327,-0.64270043,0,0,0
-0.89634901,1.90044534,-0.63652956,0,0,0
-0.86242914,1.87082624,-0.63754052,0,0,0
-0.85180140,1.80254924,-0.62984669,0,0,0
-0.89022583,1.96020293,-0.62850904,0,0,0
-1.26603913,2.21259093,-0.71166503,0,0,0
